epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2866.66,1.22578,2.07206,1.3202,0.52579,0.4081,0.4199,0.29158,1.1084,1.39756,1.18644,0.00333307,0.00333307,0.00333307
2,5670.93,1.24783,2.01017,1.32876,0.50698,0.38247,0.39036,0.26558,1.16615,1.46165,1.21872,0.00644641,0.00644641,0.00644641
3,8377.49,1.32212,2.14416,1.36892,0.48318,0.32637,0.32491,0.21232,1.2611,1.67087,1.29006,0.00933975,0.00933975,0.00933975
4,11136.2,1.38243,2.23323,1.40905,0.45187,0.32422,0.31777,0.20663,1.26013,1.67775,1.29435,0.00901,0.00901,0.00901
5,13831.4,1.34932,2.12434,1.38977,0.4482,0.34233,0.33724,0.22169,1.24333,1.61764,1.28343,0.00868,0.00868,0.00868
6,16574.4,1.32739,2.04779,1.37539,0.47671,0.35246,0.34986,0.23222,1.2225,1.58232,1.26806,0.00835,0.00835,0.00835
7,19220.9,1.29606,1.97873,1.35763,0.48338,0.35766,0.36679,0.24386,1.21252,1.54715,1.2646,0.00802,0.00802,0.00802
8,21906.7,1.2808,1.91385,1.34492,0.51216,0.37646,0.38311,0.25747,1.19236,1.50621,1.25278,0.00769,0.00769,0.00769
9,24590.5,1.26594,1.86752,1.3383,0.51646,0.37789,0.39381,0.26661,1.17169,1.46911,1.23903,0.00736,0.00736,0.00736
10,27275.2,1.24747,1.82362,1.32568,0.50082,0.39569,0.4014,0.27347,1.16174,1.44991,1.23044,0.00703,0.00703,0.00703
11,29961.9,1.23651,1.7829,1.31892,0.51564,0.39887,0.40752,0.27916,1.1525,1.42742,1.22184,0.0067,0.0067,0.0067
12,32661.9,1.22196,1.75613,1.31143,0.5332,0.40406,0.42101,0.28903,1.14818,1.40865,1.22284,0.00637,0.00637,0.00637
13,35459,1.20646,1.71288,1.30239,0.53403,0.41421,0.4326,0.29919,1.12812,1.37091,1.21051,0.00604,0.00604,0.00604
14,38185.6,1.20015,1.69717,1.29423,0.5463,0.41911,0.43951,0.30625,1.11772,1.34792,1.20057,0.00571,0.00571,0.00571
15,40875.6,1.18796,1.65651,1.28774,0.55332,0.41802,0.44245,0.30701,1.11689,1.33978,1.19939,0.00538,0.00538,0.00538
16,43559.6,1.17776,1.62692,1.27929,0.54414,0.42858,0.44758,0.31166,1.11005,1.32688,1.19138,0.00505,0.00505,0.00505
17,46243.1,1.16649,1.60811,1.27629,0.56533,0.42614,0.45729,0.31855,1.10488,1.30251,1.19191,0.00472,0.00472,0.00472
18,48927.7,1.15838,1.57962,1.26778,0.57872,0.42824,0.46203,0.32239,1.09739,1.29181,1.18474,0.00439,0.00439,0.00439
19,51612.8,1.14861,1.55417,1.26358,0.56488,0.4426,0.46651,0.32701,1.09098,1.28203,1.1809,0.00406,0.00406,0.00406
20,54303.9,1.13484,1.51877,1.25588,0.57877,0.43808,0.47187,0.33142,1.08616,1.26777,1.18053,0.00373,0.00373,0.00373
21,56992.5,1.10022,1.40808,1.23375,0.57891,0.43729,0.46796,0.32728,1.08986,1.28131,1.18434,0.0034,0.0034,0.0034
22,59682.9,1.08631,1.36018,1.22043,0.57627,0.43607,0.46568,0.32731,1.09086,1.28526,1.18495,0.00307,0.00307,0.00307
23,62371.4,1.07834,1.33893,1.21707,0.56949,0.4428,0.46808,0.32966,1.08764,1.28567,1.18416,0.00274,0.00274,0.00274
24,65063.4,1.06032,1.29763,1.20436,0.57796,0.44527,0.47049,0.33129,1.08449,1.27918,1.18127,0.00241,0.00241,0.00241
25,67750.7,1.04608,1.26046,1.19451,0.58107,0.43886,0.47206,0.33208,1.08318,1.27858,1.18129,0.00208,0.00208,0.00208
26,70440.7,1.03581,1.22965,1.18775,0.58,0.44305,0.47368,0.33302,1.0817,1.27577,1.17987,0.00175,0.00175,0.00175
27,73130.5,1.02308,1.20559,1.17994,0.58294,0.44443,0.47652,0.33526,1.0806,1.27248,1.17893,0.00142,0.00142,0.00142
28,75821.7,1.00877,1.17042,1.16717,0.58126,0.44807,0.47774,0.33677,1.07976,1.27082,1.17758,0.00109,0.00109,0.00109
29,78511.7,1.00077,1.14437,1.16276,0.57588,0.44897,0.47835,0.33796,1.07871,1.26812,1.17583,0.00076,0.00076,0.00076
30,81201,0.98949,1.12295,1.15517,0.5759,0.4495,0.47957,0.33881,1.07834,1.26509,1.1758,0.00043,0.00043,0.00043
